Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","69921","Fires in humid tropical forests","2007","2007","3050","FAO TIER 1","kilotonnes","0.0046","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2008","2008","3050","FAO TIER 1","kilotonnes","0.0027","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","69921","Fires in humid tropical forests","2008","2008","3050","FAO TIER 1","kilotonnes","0.0002","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2009","2009","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","69921","Fires in humid tropical forests","2009","2009","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2010","2010","3050","FAO TIER 1","kilotonnes","0.032","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","69921","Fires in humid tropical forests","2010","2010","3050","FAO TIER 1","kilotonnes","0.0029","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2011","2011","3050","FAO TIER 1","kilotonnes","0.0053","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","69921","Fires in humid tropical forests","2011","2011","3050","FAO TIER 1","kilotonnes","0.0005","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2012","2012","3050","FAO TIER 1","kilotonnes","0.0586","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","69921","Fires in humid tropical forests","2012","2012","3050","FAO TIER 1","kilotonnes","0.0053","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2013","2013","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","69921","Fires in humid tropical forests","2013","2013","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2014","2014","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","69921","Fires in humid tropical forests","2014","2014","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2015","2015","3050","FAO TIER 1","kilotonnes","0.0453","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","69921","Fires in humid tropical forests","2015","2015","3050","FAO TIER 1","kilotonnes","0.0041","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2016","2016","3050","FAO TIER 1","kilotonnes","0.0346","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","69921","Fires in humid tropical forests","2016","2016","3050","FAO TIER 1","kilotonnes","0.0032","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2017","2017","3050","FAO TIER 1","kilotonnes","0.008","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","69921","Fires in humid tropical forests","2017","2017","3050","FAO TIER 1","kilotonnes","0.0007","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2018","2018","3050","FAO TIER 1","kilotonnes","0.0027","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","69921","Fires in humid tropical forests","2018","2018","3050","FAO TIER 1","kilotonnes","0.0002","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2019","2019","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","69921","Fires in humid tropical forests","2019","2019","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2020","2020","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","69921","Fires in humid tropical forests","2020","2020","3050","FAO TIER 1","kilotonnes","0","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6991","Food systems waste disposal","2001","2001","3050","FAO TIER 1","kilotonnes","6117.2635","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","6991","Food systems waste disposal","2001","2001","3050","FAO TIER 1","kilotonnes","44.9134","E","Estimated value",""
"GT","Emissions Totals","159","China","7273","Emissions (CO2)","6991","Food systems waste disposal","2001","2001","3050","FAO TIER 1","kilotonnes","10304.7131","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6991","Food systems waste disposal","2002","2002","3050","FAO TIER 1","kilotonnes","6169.4093","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","6991","Food systems waste disposal","2002","2002","3050","FAO TIER 1","kilotonnes","45.5693","E","Estimated value",""
"GT","Emissions Totals","159","China","7273","Emissions (CO2)","6991","Food systems waste disposal","2002","2002","3050","FAO TIER 1","kilotonnes","10337.1276","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6991","Food systems waste disposal","2003","2003","3050","FAO TIER 1","kilotonnes","6197.4488","E","Estimated value",""
"GT","Emissions Totals","159","China","7230","Emissions (N2O)","6991","Food systems waste disposal","2003","2003","3050","FAO TIER 1","kilotonnes","46.1151","E","Estimated value",""
"GT","Emissions Totals","159","China","7273","Emissions (CO2)","6991","Food systems waste disposal","2003","2003","3050","FAO TIER 1","kilotonnes","10379.1076","E","Estimated value",""
"GT","Emissions Totals","159","China","7225","Emissions (CH4)","6991","Food systems waste disposal","2004","2004","3050","FAO TIER 1","kilotonnes","6245.1169","E","Estimated value",""
